	index	score_df1	claim_name	ncbi_gene_id_df1	ncbi_gene_id_df2	score_df2	score_ratio	Category	Bipolar Linked Paper	Bipolar Linked?
533	1628	0.0001675743611	IFNA10	3446	3446	0.0001661246742	1.0087265			
3814	2572	0.0001675743611	IFNA8	3445	3445	0.0001661246742	1.0087265			
3815	2573	0.0001675743611	IFNA6	3443	3443	0.0001661246742	1.0087265			
3461	2922	0.0001675743611	IFNA5	3442	3442	0.0001661246742	1.0087265			
3405	2726	0.0001675743611	KIR2DL1	3802	3802	0.0001661246746	1.008726497			
1370	417	0.0001675743611	KIR2DL2	3803	3803	0.0001661246746	1.008726497			
2442	4107	0.0001675743611	GRB10	2887	2887	0.0001661246861	1.008726427			
1028	2058	0.0001675743611	LOXL2	4017	4017	0.0001661249706	1.0087247			
3347	2776	0.0001675743611	IL1RL2	8808	8808	0.0001661250004	1.008724519			
1429	682	0.0001675743611	NPR2	4882	4882	0.0001661250101	1.00872446			
4152	2992	0.0001675743611	CD6	923	923	0.0001661251395	1.008723674			
847	2006	0.0001675743611	CEBPA	1050	1050	0.0001661252123	1.008723232			
763	1431	0.0001675743611	TLX2	3196	3196	0.0001661253134	1.008722619			
1938	1282	0.0001675743611	CCR9	10803	10803	0.0001661253408	1.008722452			
1942	1277	0.0001675743611	CSF2RA	1438	1438	0.0001661253811	1.008722207			
920	1949	0.0001675743611	GPR42	2866	2866	0.0001661256793	1.008720396			
2429	4131	0.0001675743611	TFR2	7036	7036	0.0001661259593	1.008718697			
2366	3883	0.0001675743611	SRSF2	6427	6427	0.0001661259687	1.00871864			
2738	3844	0.0001675743611	HIVEP2	3097	3097	0.0001661260102	1.008718387			
4151	2991	0.0001675743611	CFD	1675	1675	0.0001661260146	1.008718361			
4278	3248	0.0001675743611	TNFRSF9	3604	3604	0.0001661260161	1.008718352			
3048	4272	0.0001675743611	GPR17	2840	2840	0.0001661262157	1.00871714			
3598	2490	0.0001675743611	GLE1	2733	2733	0.0001661268233	1.00871345			
3423	2708	0.0001675743611	GAST	2520	2520	0.0001661270115	1.008712308			
2391	3939	0.0001675743611	CFB	629	629	0.0001661270163	1.008712278			
4104	3046	0.0001675743611	COX5BP1	1330	1330	0.0001661272498	1.008710861			
634	2346	0.0001675743611	DRP2	1821	1821	0.0001661273608	1.008710187			
1923	1233	0.0001675743611	DGAT1	8694	8694	0.0001661284239	1.008703732			
638	1320	0.0001675743611	CCR4	1233	1233	0.0001661284637	1.00870349			
3166	4426	0.0001675743611	ACTN1	87	87	0.0001661290291	1.008700057			
345	2295	0.0001675743611	H1-3	3007	3007	0.0001661291701	1.008699201			
645	1313	0.0001675743611	CPN1	1369	1369	0.000166129592	1.008696639			
758	1434	0.0001675743611	AQP6	363	363	0.0001661298111	1.008695309			
4286	3144	0.0001675743611	ACTG1P10	83	83	0.0001661299436	1.008694504			
2398	3945	0.0001675743611	TNFSF13	8741	8741	0.0001661303901	1.008691793			
3835	3571	0.0001675743611	FABP7	2173	2173	0.0001661305794	1.008690644			
3069	4285	0.0001675743611	TIMM8A	1678	1678	0.0001661309162	1.008688599			
906	1962	0.0001675743611	GRM6	2916	2916	0.0001661310367	1.008687868			
4004	3553	0.0001675743611	GLB1	2720	2720	0.0001661312413	1.008686625			
1563	172	0.0001675743611	DLL4	54567	54567	0.0001661312927	1.008686313			
3999	3568	0.0001675743611	GPR37	2861	2861	0.0001661313487	1.008685973			
2819	4576	0.0001675743611	H3-3A	3020	3020	0.0001661314623	1.008685283			
2354	3901	0.0001675743611	CSRP2P1	1467	1467	0.0001661319952	1.008682048			
392	2312	0.0001675743611	FGF7	2252	2252	0.0001661323952	1.008679619			
1214	1873	0.0001675743611	SPHK1	8877	8877	0.0001661330556	1.00867561			
1891	1061	0.0001675743611	SPHK2	56848	56848	0.0001661330579	1.008675596			
959	2118	0.0001675743611	INPP5D	3635	3635	0.0001661330653	1.00867555			
3829	2552	0.0001675743611	COL5A1	1289	1289	0.000166133151	1.00867503			
3637	2380	0.0001675743611	COL6A5	256076	256076	0.000166133151	1.00867503			
3818	2558	0.0001675743611	COL5A2	1290	1290	0.000166133151	1.00867503			
3439	2917	0.0001675743611	COL28A1	340267	340267	0.000166133151	1.00867503			
3300	2762	0.0001675743611	COL6A6	131873	131873	0.000166133151	1.00867503			
1416	613	0.0001675743611	COL5A3	50509	50509	0.000166133151	1.00867503			
961	2087	0.0001675743611	COL4A5	1287	1287	0.000166133151	1.00867503			
3299	2761	0.0001675743611	COL4A3	1285	1285	0.000166133151	1.00867503			
3438	2916	0.0001675743611	COL3A1	1281	1281	0.000166133151	1.00867503			
383	1606	0.0001675743611	COL4A6	1288	1288	0.000166133151	1.00867503			
701	1491	0.0001675743611	COL27A1	85301	85301	0.000166133151	1.00867503			
987	2088	0.0001675743611	COL24A1	255631	255631	0.000166133151	1.00867503			
986	2089	0.0001675743611	COL4A2	1284	1284	0.000166133151	1.00867503			
3301	2763	0.0001675743611	COL6A1	1291	1291	0.000166133151	1.00867503			
3239	4341	0.0001675743611	PRLHR	2834	2834	0.0001661333832	1.00867362			
1901	1159	0.0001675743611	CNGA1	1259	1259	0.0001661341451	1.008668995			
688	1418	0.0001675743611	CX3CR1	1524	1524	0.0001661342666	1.008668257			
993	2036	0.0001675743611	NR5A2	2494	2494	0.0001661370043	1.008651636			
3232	4349	0.0001675743611	FNTAP2	2341	2341	0.00016613825	1.008644073			
3966	3523	0.0001675743611	ITGB6	3694	3694	0.0001661383966	1.008643183			
3922	3289	0.0001675743611	PADI1	29943	29943	0.0001661384661	1.008642761			
2687	3873	0.0001675743611	PADI3	51702	51702	0.0001661384661	1.008642761			
2483	4150	0.0001675743611	POMC	5443	5443	0.0001661385551	1.00864222			
2614	3699	0.0001675743611	P4HTM	54681	54681	0.0001661392447	1.008638034			
854	2001	0.0001675743611	ATP6V1B2	526	526	0.0001661406698	1.008629382			
3754	2623	0.0001675743611	DCTN1	1639	1639	0.0001661424691	1.008618459			
3923	3283	0.0001675743611	RGMA	56963	56963	0.0001661426884	1.008617127			
891	1924	0.0001675743611	GYPC	2995	2995	0.0001661430089	1.008615182			
1999	1198	0.0001675743611	TRPV3	162514	162514	0.0001661452186	1.008601767			
3734	2619	0.0001675743611	RUNDC3B	154661	154661	0.0001661453747	1.00860082			
2931	4472	0.0001675743611	SFN	2810	2810	0.0001661453747	1.00860082			
3749	2638	0.0001675743611	UGT2A1	10941	10941	0.0001661453747	1.00860082			
353	1583	0.0001675743611	CHST1	8534	8534	0.0001661453747	1.00860082			
2804	3767	0.0001675743611	RCSD1	92241	92241	0.0001661453747	1.00860082			
3381	2663	0.0001675743611	BTG1	694	694	0.0001661461006	1.008596413			
1504	588	0.0001675743611	MKNK1	8569	8569	0.00016614751	1.008587857			
2749	3795	0.0001675743611	SLC11A1	6556	6556	0.0001661476837	1.008586803			
816	1986	0.0001675743611	ACSL4	2182	2182	0.0001661476847	1.008586797			
3697	2656	0.0001675743611	CD276	80381	80381	0.0001661485756	1.008581389			
708	2329	0.0001675743611	CLCN2	1181	1181	0.000166151897	1.008561227			
3688	2405	0.0001675743611	RASGRP1	10125	10125	0.0001661523934	1.008558214			
1894	1057	0.0001675743611	IGF1	3479	3479	0.0001661526279	1.008556791			
2292	3982	0.0001675743611	SERPINB1	1992	1992	0.0001661550724	1.008541953			
2785	3782	0.0001675743611	SETD7	80854	80854	0.0001661553144	1.008540484			
3991	3557	0.0001675743611	ELK4	2005	2005	0.0001661595375	1.008514851			
521	1634	0.0001675743611	LTB4R2	56413	56413	0.0001661624477	1.008497187			
3555	2861	0.0001675743611	FGD1	2245	2245	0.0001661649307	1.008482117			
3156	4321	0.0001675743611	NOD1	10392	10392	0.0001661654028	1.008479252			
712	1481	0.0001675743611	GPR84	53831	53831	0.0001661656766	1.008477591			
512	1642	0.0001675743611	ADAMTS5	11096	11096	0.0001661693066	1.00845556			
3630	2373	0.0001675743611	CD24P4	938	938	0.000166172324	1.008437248			
2639	3576	0.0001675743611	ATP2B4	493	493	0.000166172363	1.008437011			
3879	3421	0.0001675743611	TMEM258	746	746	0.0001661727001	1.008434965			
592	1366	0.0001675743611	CSNK2A2	1459	1459	0.0001661737026	1.008428882			
2384	3938	0.0001675743611	GPNMB	10457	10457	0.0001661741418	1.008426216			
2516	4039	0.0001675743611	MTRF1L	54516	54516	0.000166177587	1.00840531			
2378	3888	0.0001675743611	RGS17	26575	26575	0.000166177587	1.00840531			
2515	4038	0.0001675743611	PARP11	57097	57097	0.000166177587	1.00840531			
2374	3891	0.0001675743611	CTNNA3	29119	29119	0.000166177587	1.00840531			
2510	4040	0.0001675743611	PON2	5445	5445	0.000166177587	1.00840531			
2574	3662	0.0001675743611	ACSS3	79611	79611	0.000166177587	1.00840531			
2699	3802	0.0001675743611	RAPGEF5	9771	9771	0.000166177587	1.00840531			
2706	3810	0.0001675743611	CHL1	10752	10752	0.000166177587	1.00840531			
4156	2996	0.0001675743611	HELLS	3070	3070	0.0001661817752	1.008379896			
4128	3114	0.0001675743611	LIPF	8513	8513	0.0001661828862	1.008373154			
3681	2391	0.0001675743611	TXK	7294	7294	0.0001661839259	1.008366846			
3744	2650	0.0001675743611	HNRNPH2	3188	3188	0.0001661839907	1.008366452			
3302	2764	0.0001675743611	FZD8	8325	8325	0.0001661854448	1.008357629			
3285	4373	0.0001675743611	HMGCS2	3158	3158	0.0001661916923	1.008319723			
4210	3020	0.0001675743611	RASA1	5921	5921	0.000166195777	1.008294941			
3608	2484	0.0001675743611	ETV5	2119	2119	0.000166195777	1.008294941			
845	2008	0.0001675743611	ETV1	2115	2115	0.000166195777	1.008294941			
3289	2352	0.0001675743611	GPR119	139760	139760	0.0001661959797	1.008293711			
3545	2857	0.0001675743611	GDI1	2664	2664	0.0001661973666	1.008285297			
1998	1213	0.0001675743611	SDC1	6382	6382	0.0001661981877	1.008280315			
2906	4538	0.0001675743611	FOXF1	2294	2294	0.0001661989618	1.008275619			
3125	4208	0.0001675743611	HOXC10	3226	3226	0.0001661989618	1.008275619			
2664	3640	0.0001675743611	GPX1	2876	2876	0.0001661990906	1.008274838			
2558	3673	0.0001675743611	CCNE2	9134	9134	0.0001661998255	1.00827038			
1392	637	0.0001675743611	FZD2	2535	2535	0.0001662007876	1.008264543			
1989	1224	0.0001675743611	PMEL	6490	6490	0.0001662009687	1.008263444			
3288	3572	0.0001675743611	CTSW	1521	1521	0.0001662031744	1.008250064			
426	2305	0.0001675743611	OR10AE3P	403223	403223	0.0001662083268	1.008218808			
3742	2648	0.0001675743611	CHN2	1124	1124	0.0001662083268	1.008218808			
2631	3605	0.0001675743611	TPT1	7178	7178	0.0001662083268	1.008218808			
3736	2641	0.0001675743611	COLEC10	10584	10584	0.0001662083268	1.008218808			
3828	2551	0.0001675743611	LGR5	8549	8549	0.0001662083268	1.008218808			
4133	3102	0.0001675743611	NLGN1	22871	22871	0.0001662083268	1.008218808			
4121	3105	0.0001675743611	TWIST1	7291	7291	0.0001662083268	1.008218808			
4170	2974	0.0001675743611	MEGF11	84465	84465	0.0001662083268	1.008218808			
866	1969	0.0001675743611	HNRNPC	3183	3183	0.0001662121059	1.008195884			
3797	2516	0.0001675743611	SLC6A1	6529	6529	0.0001662126084	1.008192837			
2885	4506	0.0001675743611	MUSK	4593	4593	0.0001662133462	1.008188361			
2903	4533	0.0001675743611	IMPA1	3612	3612	0.0001662148177	1.008179436			
2317	4008	0.0001675743611	FBN1	2200	2200	0.0001662168593	1.008167053			
2008	1203	0.0001675743611	P2RX3	5024	5024	0.0001662186308	1.008156308			
1725	215	0.0001675743611	GBA1	2629	2629	0.0001662198136	1.008149134			
2806	3777	0.0001675743611	E2F8	79733	79733	0.0001662224699	1.008133023			
3842	3377	0.0001675743611	H2BC5	3017	3017	0.0001662239501	1.008124046			
3116	4202	0.0001675743611	HERC2	8924	8924	0.0001662243198	1.008121804			
2831	4554	0.0001675743611	SV2B	9899	9899	0.0001662261123	1.008110933			
2857	4606	0.0001675743611	SV2C	22987	22987	0.0001662261123	1.008110933			
3375	2692	0.0001675743611	ERCC5	2073	2073	0.0001662292783	1.008091732			
2400	3929	0.0001675743611	CSK	1445	1445	0.0001662325769	1.008071729			
2716	3858	0.0001675743611	TANC2	26115	26115	0.0001662328206	1.00807025			
2539	4063	0.0001675743611	PICALM	8301	8301	0.0001662328206	1.00807025			
3599	2491	0.0001675743611	SMARCB1	6598	6598	0.000166235845	1.00805191			
3195	4456	0.0001675743611	CDCA3	83461	83461	0.0001662358737	1.008051736			
2935	4725	0.0001675743611	GAPVD1	26130	26130	0.0001662366923	1.008046772			
869	2169	0.0001675743611	IRF6	3664	3664	0.0001662366923	1.008046772			
1122	2243	0.0001675743611	ZNF697	90874	90874	0.0001662366923	1.008046772			
3732	2617	0.0001675743611	CXCL13	10563	10563	0.0001662372124	1.008043619			
2451	4136	0.0001675743611	RPS6KA4	8986	8986	0.0001662383424	1.008036767			
3566	2451	0.0001675743611	CA14	23632	23632	0.0001662403107	1.008024831			
385	1604	0.0001675743611	CA13	377677	377677	0.0001662403107	1.008024831			
1972	1173	0.0001675743611	CA6	765	765	0.0001662403107	1.008024831			
793	1459	0.0001675743611	CA5A	763	763	0.0001662403107	1.008024831			
789	1463	0.0001675743611	CA5B	11238	11238	0.0001662403107	1.008024831			
1873	1069	0.0001675743611	EGF	1950	1950	0.0001662421191	1.008013866			
3542	2881	0.0001675743611	VPS37A	137492	137492	0.0001662421191	1.008013866			
2930	4624	0.0001675743611	MAFB	9935	9935	0.000166242709	1.008010289			
1145	1760	0.0001675743611	CDKAL1	54901	54901	0.000166242709	1.008010289			
2929	4622	0.0001675743611	PGLYRP4	57115	57115	0.000166242709	1.008010289			
1127	1726	0.0001675743611	METTL14	57721	57721	0.000166242709	1.008010289			
1129	1724	0.0001675743611	METTL3	56339	56339	0.000166242709	1.008010289			
4015	3499	0.0001675743611	CDKN2B-AS1	100048912	100048912	0.000166242709	1.008010289			
4018	3496	0.0001675743611	LILRB5	10990	10990	0.000166242709	1.008010289			
4192	3036	0.0001675743611	PI4KA	5297	5297	0.000166242709	1.008010289			
4016	3498	0.0001675743611	IGFBP7	3490	3490	0.000166242709	1.008010289			
4017	3497	0.0001675743611	DMPK	1760	1760	0.000166242709	1.008010289			
4214	3120	0.0001675743611	KCNT2	343450	343450	0.000166242709	1.008010289			
2468	4153	0.0001675743611	APLF	200558	200558	0.000166242709	1.008010289			
4060	3492	0.0001675743611	TAFA5	25817	25817	0.000166242709	1.008010289			
4062	3494	0.0001675743611	RBFOX1	54715	54715	0.000166242709	1.008010289			
4063	3495	0.0001675743611	ZNF100	163227	163227	0.000166242709	1.008010289			
2851	4616	0.0001675743611	CSRP3	8048	8048	0.000166242709	1.008010289			
2855	4620	0.0001675743611	IBA57	200205	200205	0.000166242709	1.008010289			
2856	4621	0.0001675743611	DGKB	1607	1607	0.000166242709	1.008010289			
1867	1017	0.0001675743611	GLT1D1	144423	144423	0.000166242709	1.008010289			
2481	4148	0.0001675743611	CLASP1	23332	23332	0.000166242709	1.008010289			
2249	881	0.0001675743611	STAB2	55576	55576	0.000166242709	1.008010289			
2949	4702	0.0001675743611	NAPRT	93100	93100	0.000166242709	1.008010289			
2963	4625	0.0001675743611	SLC12A8	84561	84561	0.000166242709	1.008010289			
3986	3514	0.0001675743611	MEX3C	51320	51320	0.000166242709	1.008010289			
1157	1751	0.0001675743611	CYSLTR2	57105	57105	0.000166242709	1.008010289			
2198	992	0.0001675743611	SLCO2A1	6578	6578	0.000166242709	1.008010289			
2207	979	0.0001675743611	ECT2L	345930	345930	0.000166242709	1.008010289			
2191	1002	0.0001675743611	SIK3	23387	23387	0.000166242709	1.008010289			
3137	4239	0.0001675743611	ZNF804A	91752	91752	0.000166242709	1.008010289			
3138	4240	0.0001675743611	FSTL5	56884	56884	0.000166242709	1.008010289			
3139	4241	0.0001675743611	RGS19	10287	10287	0.000166242709	1.008010289			
2475	4142	0.0001675743611	EXOC4	60412	60412	0.000166242709	1.008010289			
2477	4151	0.0001675743611	CXXC4	80319	80319	0.000166242709	1.008010289			
2476	4144	0.0001675743611	MBOAT1	154141	154141	0.000166242709	1.008010289			
2456	4159	0.0001675743611	CLCC1	23155	23155	0.000166242709	1.008010289			
2478	4145	0.0001675743611	RBFOX3	146713	146713	0.000166242709	1.008010289			
1974	1170	0.0001675743611	TUSC2	11334	11334	0.000166242709	1.008010289			
2469	4143	0.0001675743611	INS-IGF2	723961	723961	0.000166242709	1.008010289			
2465	4168	0.0001675743611	ADGRV1	84059	84059	0.000166242709	1.008010289			
3010	4658	0.0001675743611	SLC1A4	6509	6509	0.000166242709	1.008010289			
3007	4655	0.0001675743611	P2RX1	5023	5023	0.000166242709	1.008010289			
2998	4646	0.0001675743611	TCF3	6929	6929	0.000166242709	1.008010289			
3975	3501	0.0001675743611	MMP10	4319	4319	0.000166242709	1.008010289			
2162	953	0.0001675743611	EYS	346007	346007	0.000166242709	1.008010289			
4056	3487	0.0001675743611	SUGCT	79783	79783	0.000166242709	1.008010289			
4055	3486	0.0001675743611	IL22RA2	116379	116379	0.000166242709	1.008010289			
1899	1052	0.0001675743611	PROCR	10544	10544	0.000166242709	1.008010289			
4053	3484	0.0001675743611	SORT1	6272	6272	0.000166242709	1.008010289			
3037	4665	0.0001675743611	ARAP2	116984	116984	0.000166242709	1.008010289			
3038	4666	0.0001675743611	CNTN5	53942	53942	0.000166242709	1.008010289			
3039	4667	0.0001675743611	CST5	1473	1473	0.000166242709	1.008010289			
3040	4668	0.0001675743611	SDK1	221935	221935	0.000166242709	1.008010289			
3021	4659	0.0001675743611	SMYD3	64754	64754	0.000166242709	1.008010289			
3044	4673	0.0001675743611	ITPKC	80271	80271	0.000166242709	1.008010289			
3043	4672	0.0001675743611	PRIMPOL	201973	201973	0.000166242709	1.008010289			
3042	4671	0.0001675743611	COQ8B	79934	79934	0.000166242709	1.008010289			
3022	4660	0.0001675743611	TAP1	6890	6890	0.000166242709	1.008010289			
3023	4661	0.0001675743611	FBXL19	54620	54620	0.000166242709	1.008010289			
1182	1875	0.0001675743611	MALAT1	378938	378938	0.000166242709	1.008010289			
3024	4682	0.0001675743611	KNG1	3827	3827	0.000166242709	1.008010289			
3103	4247	0.0001675743611	AXIN2	8313	8313	0.000166242709	1.008010289			
3104	4246	0.0001675743611	PARP14	54625	54625	0.000166242709	1.008010289			
3106	4244	0.0001675743611	NUP107	57122	57122	0.000166242709	1.008010289			
3115	4201	0.0001675743611	NBN	4683	4683	0.000166242709	1.008010289			
2457	4160	0.0001675743611	LKAAEAR1	198437	198437	0.000166242709	1.008010289			
2458	4161	0.0001675743611	MCOLN1	57192	57192	0.000166242709	1.008010289			
2459	4162	0.0001675743611	POM121L2	94026	94026	0.000166242709	1.008010289			
2460	4163	0.0001675743611	ZNF165	7718	7718	0.000166242709	1.008010289			
2461	4164	0.0001675743611	RAD18	56852	56852	0.000166242709	1.008010289			
3036	4664	0.0001675743611	CNPY4	245812	245812	0.000166242709	1.008010289			
3033	4662	0.0001675743611	MOB3B	79817	79817	0.000166242709	1.008010289			
3031	4681	0.0001675743611	NUDT1	4521	4521	0.000166242709	1.008010289			
3053	4248	0.0001675743611	CRYBG2	55057	55057	0.000166242709	1.008010289			
3066	4262	0.0001675743611	CNIH3	149111	149111	0.000166242709	1.008010289			
3065	4261	0.0001675743611	ZNF568	374900	374900	0.000166242709	1.008010289			
3054	4249	0.0001675743611	APCDD1	147495	147495	0.000166242709	1.008010289			
3935	3336	0.0001675743611	MAGEA12	4111	4111	0.000166242709	1.008010289			
3062	4257	0.0001675743611	TANC1	85461	85461	0.000166242709	1.008010289			
3950	3319	0.0001675743611	CSRNP3	80034	80034	0.000166242709	1.008010289			
3953	3329	0.0001675743611	SFRP5	6425	6425	0.000166242709	1.008010289			
3955	3324	0.0001675743611	GSTM5	2949	2949	0.000166242709	1.008010289			
3957	3326	0.0001675743611	CELSR2	1952	1952	0.000166242709	1.008010289			
3959	3328	0.0001675743611	CXCL5	6374	6374	0.000166242709	1.008010289			
3944	3314	0.0001675743611	CFAP44	55779	55779	0.000166242709	1.008010289			
3945	3321	0.0001675743611	TBC1D32	221322	221322	0.000166242709	1.008010289			
3046	4676	0.0001675743611	FOXF2	2295	2295	0.000166242709	1.008010289			
3047	4677	0.0001675743611	BST1	683	683	0.000166242709	1.008010289			
3057	4252	0.0001675743611	IL16	3603	3603	0.000166242709	1.008010289			
3061	4256	0.0001675743611	WIF1	11197	11197	0.000166242709	1.008010289			
3056	4251	0.0001675743611	IGF2-AS	51214	51214	0.000166242709	1.008010289			
2841	4623	0.0001675743611	KLRC4	8302	8302	0.000166242709	1.008010289			
3059	4255	0.0001675743611	CCN4	8840	8840	0.000166242709	1.008010289			
2604	3688	0.0001675743611	BGN	633	633	0.0001662435241	1.008005347			
2835	4559	0.0001675743611	XRCC4	7518	7518	0.0001662443015	1.008000633			
3203	4465	0.0001675743611	PRDX4	10549	10549	0.0001662443015	1.008000633			
3241	4330	0.0001675743611	ORM2	5005	5005	0.0001662443015	1.008000633			
2463	4166	0.0001675743611	VAC14	55697	55697	0.0001662443015	1.008000633			
4041	3431	0.0001675743611	ELF3	1999	1999	0.0001662468223	1.007985349			
4226	3226	0.0001675743611	CTBP1	1487	1487	0.0001662478743	1.00797897			
3356	2785	0.0001675743611	RASGRP3	25780	25780	0.0001662483967	1.007975803			
2773	3732	0.0001675743611	LTB	4050	4050	0.0001662487145	1.007973876			
3841	3376	0.0001675743611	DSC3	1825	1825	0.0001662487674	1.007973555			
3609	2483	0.0001675743611	HIP1	3092	3092	0.0001662515504	1.007956682			
3746	2652	0.0001675743611	HLA-DRB4	3126	3126	0.0001662518907	1.007954619			
2010	1201	0.0001675743611	CD79B	974	974	0.0001662551399	1.00793492			
1573	157	0.0001675743611	ARSL	415	415	0.0001662583655	1.007915365			
4180	3006	0.0001675743611	ART3	419	419	0.0001662583655	1.007915365			
3376	2677	0.0001675743611	ARSD	414	414	0.0001662583655	1.007915365			
3361	2678	0.0001675743611	ART2P	418	418	0.0001662583655	1.007915365			
3377	2676	0.0001675743611	ART1	417	417	0.0001662583655	1.007915365			
4114	3057	0.0001675743611	LAMB1	3912	3912	0.0001662590559	1.00791118			
1029	2056	0.0001675743611	CCL14	6358	6358	0.0001662610765	1.00789893			
2351	3895	0.0001675743611	INSRR	3645	3645	0.0001662646242	1.007877424			
3788	2506	0.0001675743611	ACLY	47	47	0.0001662647598	1.007876602			
2827	4550	0.0001675743611	MALT1	10892	10892	0.0001662657296	1.007870723			
1828	1127	0.0001675743611	ZAP70	7535	7535	0.0001662675871	1.007859463			
1740	199	0.0001675743611	OSM	5008	5008	0.0001662728794	1.007827384			
1792	1111	0.0001675743611	GLUL	2752	2752	0.0001662739458	1.007820921			
4081	3477	0.0001675743611	PTGDS	5730	5730	0.0001662742102	1.007819318			
3770	2523	0.0001675743611	HBA2	3040	3040	0.0001662752007	1.007813315			
3816	2574	0.0001675743611	HBA1	3039	3039	0.0001662752007	1.007813315			
4320	3181	0.0001675743611	PRF1	5551	5551	0.0001662754263	1.007811947			
3353	2782	0.0001675743611	PRKG2	5593	5593	0.0001662778964	1.007796976			
2840	4586	0.0001675743611	MAPKAPK5	8550	8550	0.0001662790168	1.007790185			
4011	3545	0.0001675743611	EIF4B	1975	1975	0.0001662812754	1.007776496			
2454	4157	0.0001675743611	GNA13	10672	10672	0.0001662815108	1.007775069			
2644	3582	0.0001675743611	FOXC2	2303	2303	0.0001662815108	1.007775069			
2663	3639	0.0001675743611	EMP2	2013	2013	0.0001662846231	1.007756207			
3266	4390	0.0001675743611	KAT5	10524	10524	0.0001662862312	1.007746461			
924	1947	0.0001675743611	ZFP36L1	677	677	0.0001662875423	1.007738516			
4013	3549	0.0001675743611	EBF1	1879	1879	0.0001662888909	1.007730343			
378	1610	0.0001675743611	CCL18	6362	6362	0.0001662912463	1.00771607			
3793	2512	0.0001675743611	GPR183	1880	1880	0.0001662913809	1.007715254			
3692	2402	0.0001675743611	DYRK4	8798	8798	0.0001662915061	1.007714495			
950	2071	0.0001675743611	RAMP3	10268	10268	0.0001662931518	1.007704522			
2382	3911	0.0001675743611	GFRA1	2674	2674	0.0001662991692	1.00766806			
2219	880	0.0001675743611	SRY	6736	6736	0.0001663012942	1.007655183			
3192	4453	0.0001675743611	KCNMB1	3779	3779	0.0001663052182	1.007631407			
2455	4158	0.0001675743611	KCNIP1	30820	30820	0.0001663052182	1.007631407			
1919	1241	0.0001675743611	STAT5A	6776	6776	0.0001663059978	1.007626684			
4048	3461	0.0001675743611	DCLK1	9201	9201	0.0001663063141	1.007624768			
1082	2211	0.0001675743611	SLC9A8	23315	23315	0.0001663064857	1.007623728			
3272	4367	0.0001675743611	PTPN5	84867	84867	0.0001663088041	1.007609681			
335	1594	0.0001675743611	CCL3	6348	6348	0.0001663090372	1.007608269			
2980	4738	0.0001675743611	ARHGAP35	2909	2909	0.0001663118559	1.007591192			
2729	3856	0.0001675743611	PDGFA	5154	5154	0.0001663182173	1.007552653			
2786	3783	0.0001675743611	PDGFD	80310	80310	0.0001663182173	1.007552653			
3900	3296	0.0001675743611	PDGFC	56034	56034	0.0001663182173	1.007552653			
4240	3208	0.0001675743611	KIF5B	3799	3799	0.0001663202103	1.00754058			
4243	3211	0.0001675743611	CCDC6	8030	8030	0.0001663202103	1.00754058			
3034	4669	0.0001675743611	IL27	246778	246778	0.000166320615	1.007538128			
2528	4079	0.0001675743611	CTNND2	1501	1501	0.0001663214607	1.007533005			
546	1663	0.0001675743611	LDHA	3939	3939	0.0001663222679	1.007528115			
1213	1874	0.0001675743611	KLF4	9314	9314	0.0001663223336	1.007527717			
1025	2060	0.0001675743611	SIN3A	25942	25942	0.0001663223336	1.007527717			
3994	3560	0.0001675743611	ADGRE1	2015	2015	0.0001663275046	1.007496394			
2371	3881	0.0001675743611	SOCS1	8651	8651	0.0001663279177	1.007493892			
2519	4061	0.0001675743611	TPSAB1	7177	7177	0.0001663299278	1.007481716			
616	1403	0.0001675743611	SLCO1C1	53919	53919	0.0001663326912	1.007464978			
3993	3559	0.0001675743611	EPYC	1833	1833	0.0001663384562	1.007430061			
892	1923	0.0001675743611	GNG4	2786	2786	0.0001663417588	1.007410059			
3041	4670	0.0001675743611	SLC31A1	1317	1317	0.0001663436312	1.00739872			
3790	2508	0.0001675743611	F2RL2	2151	2151	0.0001663463924	1.007381998			
2961	4733	0.0001675743611	PPP2R2A	5520	5520	0.0001663502904	1.007358392			
3158	4432	0.0001675743611	FGF6	2251	2251	0.0001663532791	1.007340294			
2925	4522	0.0001675743611	DLG2	1740	1740	0.0001663624883	1.007284532			
3101	4298	0.0001675743611	CLDN11	5010	5010	0.0001663624883	1.007284532			
2783	3787	0.0001675743611	BCAR3	8412	8412	0.0001663696229	1.007241335			
3705	2605	0.0001675743611	PTPN13	5783	5783	0.0001663696229	1.007241335			
3523	2822	0.0001675743611	CYP4F11	57834	57834	0.0001663759632	1.007202951			
3520	2819	0.0001675743611	CHIA	27159	27159	0.0001663759632	1.007202951			
4326	3189	0.0001675743611	TAPBP	6892	6892	0.0001663759632	1.007202951			
830	2161	0.0001675743611	UGDH	7358	7358	0.0001663759632	1.007202951			
3758	2628	0.0001675743611	SLC6A12	6539	6539	0.0001663759632	1.007202951			
379	2291	0.0001675743611	COL17A1	1308	1308	0.0001663759632	1.007202951			
728	2319	0.0001675743611	ZBTB22	9278	9278	0.0001663759632	1.007202951			
3514	2820	0.0001675743611	HLA-DPB2	3116	3116	0.0001663759632	1.007202951			
1042	2047	0.0001675743611	TMEM196	256130	256130	0.0001663759632	1.007202951			
3524	2823	0.0001675743611	CEP68	23177	23177	0.0001663759632	1.007202951			
